passed_subjects,students_avg,Student ID,gender
6,81.28571428571429,1,Female
4,76.42857142857143,2,Male
5,80.28571428571429,3,Female
5,83.42857142857143,4,Male
6,88.0,5,Female
3,75.28571428571429,6,Female
4,81.85714285714286,7,Female
6,82.42857142857143,8,Male
5,80.57142857142857,9,Female
3,76.85714285714286,10,Male
5,84.57142857142857,11,Genderqueer
7,89.57142857142857,12,Female
5,79.28571428571429,13,Male
5,85.14285714285714,14,Male
4,77.85714285714286,15,Male
7,89.42857142857143,16,Male
5,83.42857142857143,17,Male
5,79.42857142857143,18,Female
6,79.28571428571429,19,Female
6,82.28571428571429,20,Female
4,81.28571428571429,21,Genderfluid
6,84.0,22,Male
7,88.0,23,Bigender
5,86.28571428571429,24,Male
6,85.14285714285714,25,Female
4,78.71428571428571,26,Male
4,76.14285714285714,27,Female
3,76.14285714285714,28,Female
5,80.28571428571429,29,Female
1,69.42857142857143,30,Male
4,74.0,31,Female
3,77.42857142857143,32,Female
3,75.71428571428571,33,Male
4,76.57142857142857,34,Genderqueer
6,88.14285714285714,35,Genderfluid
4,77.71428571428571,36,Genderqueer
4,82.28571428571429,37,Male
3,76.71428571428571,38,Male
2,72.85714285714286,39,Female
3,75.14285714285714,40,Female
4,75.42857142857143,41,Female
5,86.71428571428571,42,Male
7,86.28571428571429,43,Male
5,82.42857142857143,44,Female
5,81.57142857142857,45,Male
4,81.14285714285714,46,Female
6,83.57142857142857,47,Male
5,77.57142857142857,48,Female
5,82.57142857142857,49,Female
4,74.71428571428571,50,Male
6,84.85714285714286,51,Female
5,78.71428571428571,52,Male
3,77.28571428571429,53,Male
5,83.85714285714286,54,Female
5,83.85714285714286,55,Female
6,89.71428571428571,56,Male
6,86.57142857142857,57,Male
7,84.28571428571429,58,Polygender
2,73.42857142857143,59,Male
3,70.42857142857143,60,Male
3,73.85714285714286,61,Male
4,77.57142857142857,62,Male
5,87.14285714285714,63,Male
4,74.57142857142857,64,Female
7,89.42857142857143,65,Female
5,82.0,66,Male
4,76.57142857142857,67,Polygender
5,79.0,68,Male
5,80.0,69,Female
5,80.71428571428571,70,Male
6,80.14285714285714,71,Male
3,75.0,72,Male
