name,metric,raw_value,scaled_value
Vanessa Selbst,career_length,13.652054794520549,64.0
Kathy Liebert,career_length,27.265753424657536,96.0
Kristen Bicknell,career_length,15.232876712328768,74.0
Annie Duke,career_length,17.91780821917808,84.0
Maria Ho,career_length,16.75890410958904,82.0
Annette Obrestad,career_length,11.745205479452055,42.0
Liv Boeree,career_length,13.550684931506849,62.0
Vanessa Rousso,career_length,11.895890410958904,45.0
Maria Constanza Lampropulos,career_length,6.704109589041096,10.0
Joanne Liu,career_length,25.46027397260274,95.0
Loni Harwood,career_length,13.284931506849315,61.0
Jennifer Harman,career_length,27.78082191780822,97.0
Kathy Lehne,career_length,12.504109589041096,52.0
Hui Chen Kuo,career_length,13.882191780821918,65.0
Victoria Coren Mitchell,career_length,18.594520547945205,86.0
Xuan Liu,career_length,13.901369863013699,66.0
Ana Marquez,career_length,11.235616438356164,38.0
Sandra Naujoks,career_length,4.682191780821918,4.0
Esther Taylor,career_length,15.084931506849315,72.0
Barbara Enright,career_length,35.81369863013698,100.0
Clonie Gowen,career_length,6.265753424657534,8.0
Mimi Tran,career_length,20.361643835616437,91.0
Lucille Cailly,career_length,5.641095890410959,5.0
Allyn Jaffrey Shulman,career_length,19.997260273972604,90.0
Kelly Minkin,career_length,8.150684931506849,19.0
Sosia Jiang,career_length,8.789041095890411,22.0
Jackqueline Glazier,career_length,12.912328767123288,55.0
Cyndy Violette,career_length,33.59452054794521,98.0
Lisa Hamilton,career_length,12.36986301369863,51.0
Lucy Rokach,career_length,21.09315068493151,93.0
Nadya Magnus,career_length,12.95890410958904,57.0
Leo Margets,career_length,12.276712328767124,48.0
Gaelle Baumann,career_length,8.70958904109589,21.0
Wendy Freedman,career_length,9.712328767123287,27.0
Natasha Mercier,career_length,10.136986301369863,30.0
Isabelle Mercier,career_length,14.512328767123288,71.0
Amanda Musumeci,career_length,6.271232876712329,9.0
Ema Zajmovic,career_length,9.893150684931507,28.0
Jessica Dawley,career_length,14.2,67.0
Cate Hall,career_length,6.717808219178083,11.0
Anna Wroblewski,career_length,12.282191780821918,49.0
Kristy Gazes,career_length,20.802739726027397,92.0
Celina Lin Pei Fei,career_length,11.684931506849315,41.0
Jennifer Tilly,career_length,15.605479452054794,76.0
Marsha Waggoner,career_length,35.172602739726024,99.0
Samantha Cohen,career_length,11.326027397260274,39.0
Melanie Weisner,career_length,11.93972602739726,46.0
Linglin Zeng,career_length,6.260273972602739,7.0
Melissa Hayden,career_length,24.40821917808219,94.0
Lily Kiletto,career_length,10.509589041095891,33.0
Lauren Roberts,career_length,9.424657534246576,26.0
Erica Schoenberg,career_length,14.287671232876713,68.0
Li Yan,career_length,6.241095890410959,6.0
Isabel Baltazar,career_length,13.06027397260274,58.0
Nancy Birnbaum,career_length,15.098630136986301,73.0
Liz Lieu,career_length,8.263013698630138,20.0
Nani Dollison,career_length,10.972602739726028,37.0
Sixiao Li,career_length,7.583561643835616,17.0
Ronit Chamani,career_length,14.424657534246576,70.0
Marsha Wolak,career_length,11.509589041095891,40.0
Abbey Daniels,career_length,10.66027397260274,34.0
Jamie Kerstetter,career_length,12.542465753424658,53.0
Elisabeth Hille,career_length,7.142465753424657,13.0
Gao Wenling,career_length,7.101369863013699,12.0
Anna Antimony,career_length,13.136986301369863,60.0
Kara Scott,career_length,11.819178082191781,44.0
Natalya Nikitina,career_length,10.934246575342465,36.0
Mimi Luu,career_length,18.882191780821916,87.0
Gloria Jackson,career_length,9.416438356164383,25.0
Kristina Holst,career_length,12.093150684931507,47.0
Cherish Andrews,career_length,12.923287671232877,56.0
Louise Francoeur,career_length,15.789041095890411,77.0
Melanie Banfield,career_length,10.33972602739726,31.0
Carol Fuchs,career_length,17.693150684931506,83.0
Shirley Rosario,career_length,19.40821917808219,88.0
Ness Reilly,career_length,12.367123287671232,50.0
Vivian Saliba,career_length,7.232876712328767,14.0
Svetlana Gromenkova,career_length,16.046575342465754,80.0
Fatima Moreira De Melo,career_length,9.972602739726028,29.0
Angelina Rich,career_length,7.515068493150685,16.0
Kyna England,career_length,2.8958904109589043,2.0
La Sengphet,career_length,15.27945205479452,75.0
Carla Sabini,career_length,7.468493150684932,15.0
Samantha Abernathy,career_length,7.767123287671233,18.0
Haixia Zhang,career_length,10.90958904109589,35.0
